dricka	(dricker, drack, druckit)	drink	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
lite		a little, a bit	Sidan 18	Kapitel 2	Kapitel2 RivstartA1A2
hälsa	(-r, -de, -t)	greet, say hello	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
God dag.		Hello.	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
god	(gott, goda)	good	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
dag	(-en, -ar, -arna)	day	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
retur		return	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
västra Sverige		western Sweden	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
informell	(-t, -a)	informal	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
formell	(-t, -a)	formal	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
tillsammans		together	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
markering	(-en, -ar, -arna)	mark	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
betonad	(betonat, betonade)	emphasized	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
intonation	(-en, -er, -erna)	intonation	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
slut	(-et, –, -en)	end	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
fras	(-en, -er, -erna)	phrase	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
gå		go	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
ton	(-en, -er, -erna)	pitch	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
upp		up	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
ner		down	Sidan 19	Kapitel 2	Kapitel2 RivstartA1A2
kung	(-en, -ar, -arna)	king	Sidan 20	Kapitel 2	Kapitel2 RivstartA1A2
intresserad	(intresserat, intresserade)	av interested in	Sidan 20	Kapitel 2	Kapitel2 RivstartA1A2
journalist	(-en, -er, -erna)	journalist	Sidan 20	Kapitel 2	Kapitel2 RivstartA1A2
thailändsk		Thai	Sidan 20	Kapitel 2	Kapitel2 RivstartA1A2
tidning	(-en, -ar, -arna)	newspaper, magazine	Sidan 20	Kapitel 2	Kapitel2 RivstartA1A2
nät	(-et, –, -en)	net	Sidan 20	Kapitel 2	Kapitel2 RivstartA1A2
